name,organization,homepage,logo,twitter,crunchbase_url,funding,member,relation,tag,license,headquarters,description,crunchbase_description,crunchbase_homepage,crunchbase_city,crunchbase_region,crunchbase_country,crunchbase_twitter,crunchbase_linkedin,crunchbase_ticker,crunchbase_kind,crunchbase_min_employees,crunchbase_max_employees,category,subcategory,oss,github_repo,github_stars,github_description,github_latest_commit_date,github_latest_commit_link,github_latest_release_date,github_latest_release_link,github_start_commit_date,github_start_commit_link,github_contributors_count,github_contributors_link,accepted,incubation,graduated,dev_stats_url,artwork_url,blog_url,mailing_list_url,slack_url,youtube_url,chat_channel,last_audit_date,last_audit_url
Keycloak,,https://www.keycloak.org/,logos/e7ec76aed9cec7e65927f9f8cf4e675d49e79154c45c504a5cd6da1fdaecfc2d.svg,,,,,,,,,,,,,,,,,,,,,Agentic,IAM,,,,,,,,,,,,,,,,,,,,,,,,
kgateway,,https://kgateway.dev/,logos/8b94387f3a6d655eb64607ca29dfc48ef1a8402b2b5ecff26c17cacb74af0478.svg,,,,,,,,,,,,,,,,,,,,,Agentic,LLM Gateway,,,,,,,,,,,,,,,,,,,,,,,,
Kong,,https://konghq.com/install/,logos/0241eb0c20543e07af9e206abdc1ae9478a93e0cd9390689867d7dac7c1ae55f.svg,,,,,,,,,,,,,,,,,,,,,Agentic,LLM Gateway,,,,,,,,,,,,,,,,,,,,,,,,
Kubernetes,,https://agentic-community.com,logos/845f6768deec38b1b2e6f03be0f56fd45d046c7af397fd981765a6e75c8be64e.svg,,,,,,,,,,,,,,,,,,,,,Agentic,Runtime,,,,,,,,,,,,,,,,https://k8s.devstats.cncf.io/,,,,,,,,
LangChain,,https://docs.langchain.com/oss/python/langchain/,logos/f3bfa6595d5093b84e4a06c54db12b504479ee3167c45a755e93c7bbd34a4777.svg,,,,,,,,,,,,,,,,,,,,,Agentic,Frameworks,,,,,,,,,,,,,,,,,,,,,,,,
Langflow,,http://www.langflow.org/,logos/c9d52a35d9e92a3ddb25a437db7fc7ff36daaa9253d7c5b4a9d23c8e0895328b.png,,,,,,,,,,,,,,,,,,,,,Agentic,Frameworks,,,,,,,,,,,,,,,,,,,,,,,,
LangFuse,,https://langfuse.com/,logos/72e8219508d692da8f8673679411a0191eea9a44e9067dacdf0c5bff833374da.svg,,,,,,,,,,,,,,,,,,,,,Agentic,Observability,,,,,,,,,,,,,,,,,,,,,,,,
LangGraph,,https://docs.langchain.com/oss/python/langgraph/,logos/e54bf09b8b7f7f92910e0adef8a7fb8ab5eb4b3877f636f9f2b88e4da037ddd5.svg,,,,,,,,,,,,,,,,,,,,,Agentic,Frameworks,,,,,,,,,,,,,,,,,,,,,,,,
LangMem,,https://langchain-ai.github.io/langmem/,logos/e54bf09b8b7f7f92910e0adef8a7fb8ab5eb4b3877f636f9f2b88e4da037ddd5.svg,,,,,,,,,,,,,,,,,,,,,Agentic,Memory,,,,,,,,,,,,,,,,,,,,,,,,
LangSmith,,https://smith.langchain.com/,logos/b8391865ddd5023f559da7331c8cc69d45687fd6c935a322abeb446347a160a5.svg,,,,,,,,,,,,,,,,,,,,,Agentic,Observability,,,,,,,,,,,,,,,,,,,,,,,,
Letta,,https://www.letta.com/,logos/64cb613378d7311b8d66af11679f6c7a4f2d7d00fe85ba54bd75b999252d0c69.svg,,,,,,,,,,,,,,,,,,,,,Agentic,Memory,,,,,,,,,,,,,,,,,,,,,,,,
LiteLLM,,https://www.litellm.ai/,logos/4b179f68c2501da81a0011af4e99a7c3a624fdeefd2a6359444b2092e54b0814.svg,,,,,,,,,,,,,,,,,,,,,Agentic,LLM Gateway,,,,,,,,,,,,,,,,,,,,,,,,
LlamaIndex,,https://developers.llamaindex.ai/,logos/80ca01c453477042ca8fd917a69a6638bd8c4188262a49cf21b895b4335ce8a8.svg,,,,,,,,,,,,,,,,,,,,,Agentic,RAG,,,,,,,,,,,,,,,,,,,,,,,,
marqo,,https://www.marqo.ai/,logos/a354fdcc170744f4d448c7f136ebe12ae7c69cf17f2486fcc574ea3eab51d1ce.svg,,,,,,,,,,,,,,,,,,,,,Infrastructure,Vector DBs,,,,,,,,,,,,,,,,,,,,,,,,
MCP Gateway Registry,,https://agentic-community.github.io/mcp-gateway-registry/,logos/f04e192a23e5d79487b543cba6ccea8e84e27b9ea668a6ac81c57898730ad116.svg,,,,,,,,,,,,,,,,,,,,,Agentic,Agentic Gateways,,,,,,,,,,,,,,,,,,,,,,,,
MCP Registry,,https://github.com/modelcontextprotocol/registry/tree/main/docs,logos/f7090c02fb769fba48b43aa41e4a9607bb84b6d7661a60b3ddba954f129503e4.svg,,,,,,,,,,,,,,,,,,,,,Agentic,Agentic Gateways,,,,,,,,,,,,,,,,,,,,,,,,
mem0,,https://mem0.ai/,logos/a6295f63b3f900de4edb72888ba050299ceb2bae06a4cbd43763f26421e85034.svg,,,,,,,,,,,,,,,,,,,,,Agentic,Memory,,,,,,,,,,,,,,,,,,,,,,,,
Milvus,,https://milvus.io/,logos/ca97295ef0aeea8e171ea917c018a140d23eb2ebffeac0c9a7a4f9b696344592.svg,,,,,,,,,,,,,,,,,,,,,Infrastructure,Vector DBs,,,,,,,,,,,,,,,,,,,,,,,,
OpenLLMetry,,https://www.traceloop.com/openllmetry,logos/ed5cb4f2e9590b651b587cc827ad3b9d5f12a2decade5c6b25df549f7ec02867.svg,,,,,,,,,,,,,,,,,,,,,Agentic,Observability,,,,,,,,,,,,,,,,,,,,,,,,
pgvector,,https://github.com/pgvector/pgvector,logos/30641cb9a29982a2d6d0228dffd1b5dcdaa9908aa40e525db19980dbdfa34df7.svg,,,,,,,,,,,,,,,,,,,,,Infrastructure,Vector DBs,,,,,,,,,,,,,,,,,,,,,,,,
PortKey,,https://portkey.ai/features/ai-gateway,logos/b110fd3a8da92abced22f6fd2d7251d8b0bc9b84d7f9e8f58fd798963aaff95a.svg,,,,,,,,,,,,,,,,,,,,,Agentic,LLM Gateway,,,,,,,,,,,,,,,,,,,,,,,,
Qdrant,,https://cloud.qdrant.io/,logos/a1812bf0eda10e842aa9854e59ee406e5be2ab341b8e78a445b0e8d280fd42d2.svg,,,,,,,,,,,,,,,,,,,,,Infrastructure,Vector DBs,,,,,,,,,,,,,,,,,,,,,,,,
Ragas,,https://docs.ragas.io/en/stable/,logos/9320e9e8326fafb463d4201ef4f4052f49b630c66605d0862f2efcaf0d433193.svg,,,,,,,,,,,,,,,,,,,,,Agentic,Evaluations,,,,,,,,,,,,,,,,,,,,,,,,
Semantic Kernel,,https://aka.ms/semantic-kernel,logos/a1af1edb94d1e2b56957c5ac36eeaa05c003c1f0797cd3c2750a76c10e08f293.svg,,,,,,,,,,,,,,,,,,,,,Agentic,Frameworks,,,,,,,,,,,,,,,,,,,,,,,,
Smolagents,,https://huggingface.co/docs/smolagents,logos/b614f321c9b6a37b1aab26efe652e44ba33bfc15b1dd6fdde749b6c7c32f47df.svg,,,,,,,,,,,,,,,,,,,,,Agentic,Frameworks,,,,,,,,,,,,,,,,,,,,,,,,
Strands,,https://strandsagents.com/,logos/de8cfe5f04ff2c7597f8bbce1f9123592049c511217b42ef0b68c2f4b48380e6.svg,,,,,,,,,,,,,,,,,,,,,Agentic,Frameworks,,,,,,,,,,,,,,,,,,,,,,,,
TruLens,,https://trulens.org,logos/b58dc2c325feed13f26e2d5ed493b2ccf2bdb4665037127a7ba23550c6df3ce9.svg,,,,,,,,,,,,,,,,,,,,,Agentic,Evaluations,,,,,,,,,,,,,,,,,,,,,,,,
txtai,,https://neuml.github.io/txtai/,logos/8e0b639862198d780b08382ed66a88dbe7eb581f9e9e4a499f9b09b86cef5b0e.png,,,,,,,,,,,,,,,,,,,,,Agentic,RAG,,,,,,,,,,,,,,,,,,,,,,,,
vLLM,,https://homepage.url,logos/789d223c86d7884c48ea51f8e799e8c0ce952495186131fcaed24c06292d0e45.svg,,,,,,,,,,,,,,,,,,,,,LLMs,Serving,,,,,,,,,,,,,,,,,,,,,,,,
Weaviate,,https://weaviate.io/developers/weaviate/,logos/1854e7c6c113710a0458090bb363d14caff07cba9eec11a840fbd0b34c55fd82.svg,,,,,,,,,,,,,,,,,,,,,Infrastructure,Vector DBs,,,,,,,,,,,,,,,,,,,,,,,,
